observation_id	sample_id	region
spot1_0	s1	white-matter
spot1_1	s1	cortex
spot1_2	s1	white-matter
spot1_3	s1	cortex
spot1_4	s1	white-matter
spot1_5	s1	cortex
spot1_6	s1	white-matter
spot1_7	s1	cortex
spot1_8	s1	white-matter
spot1_9	s1	cortex
spot2_0	s2	white-matter
spot2_1	s2	cortex
spot2_2	s2	white-matter
spot2_3	s2	cortex
spot2_4	s2	white-matter
spot2_5	s2	cortex
spot2_6	s2	white-matter
spot2_7	s2	cortex
spot2_8	s2	white-matter
spot2_9	s2	cortex
spot3_0	s3	white-matter
spot3_1	s3	cortex
spot3_2	s3	white-matter
spot3_3	s3	cortex
spot3_4	s3	white-matter
spot3_5	s3	cortex
spot3_6	s3	white-matter
spot3_7	s3	cortex
spot3_8	s3	white-matter
spot3_9	s3	cortex
spot4_0	s4	white-matter
spot4_1	s4	cortex
spot4_2	s4	white-matter
spot4_3	s4	cortex
spot4_4	s4	white-matter
spot4_5	s4	cortex
spot4_6	s4	white-matter
spot4_7	s4	cortex
spot4_8	s4	white-matter
spot4_9	s4	cortex
spot5_0	s5	white-matter
spot5_1	s5	cortex
spot5_2	s5	white-matter
spot5_3	s5	cortex
spot5_4	s5	white-matter
spot5_5	s5	cortex
spot5_6	s5	white-matter
spot5_7	s5	cortex
spot5_8	s5	white-matter
spot5_9	s5	cortex
spot6_0	s6	white-matter
spot6_1	s6	cortex
spot6_2	s6	white-matter
spot6_3	s6	cortex
spot6_4	s6	white-matter
spot6_5	s6	cortex
spot6_6	s6	white-matter
spot6_7	s6	cortex
spot6_8	s6	white-matter
spot6_9	s6	cortex
spot7_0	s7	white-matter
spot7_1	s7	cortex
spot7_2	s7	white-matter
spot7_3	s7	cortex
spot7_4	s7	white-matter
spot7_5	s7	cortex
spot7_6	s7	white-matter
spot7_7	s7	cortex
spot7_8	s7	white-matter
spot7_9	s7	cortex
spot8_0	s8	white-matter
spot8_1	s8	cortex
spot8_2	s8	white-matter
spot8_3	s8	cortex
spot8_4	s8	white-matter
spot8_5	s8	cortex
spot8_6	s8	white-matter
spot8_7	s8	cortex
spot8_8	s8	white-matter
spot8_9	s8	cortex
spot9_0	s9	white-matter
spot9_1	s9	cortex
spot9_2	s9	white-matter
spot9_3	s9	cortex
spot9_4	s9	white-matter
spot9_5	s9	cortex
spot9_6	s9	white-matter
spot9_7	s9	cortex
spot9_8	s9	white-matter
spot9_9	s9	cortex
spot10_0	s10	white-matter
spot10_1	s10	cortex
spot10_2	s10	white-matter
spot10_3	s10	cortex
spot10_4	s10	white-matter
spot10_5	s10	cortex
spot10_6	s10	white-matter
spot10_7	s10	cortex
spot10_8	s10	white-matter
spot10_9	s10	cortex
spot11_0	s11	white-matter
spot11_1	s11	cortex
spot11_2	s11	white-matter
spot11_3	s11	cortex
spot11_4	s11	white-matter
spot11_5	s11	cortex
spot11_6	s11	white-matter
spot11_7	s11	cortex
spot11_8	s11	white-matter
spot11_9	s11	cortex
spot12_0	s12	white-matter
spot12_1	s12	cortex
spot12_2	s12	white-matter
spot12_3	s12	cortex
spot12_4	s12	white-matter
spot12_5	s12	cortex
spot12_6	s12	white-matter
spot12_7	s12	cortex
spot12_8	s12	white-matter
spot12_9	s12	cortex
