sample,donor,condition,batch,cell_type,timepoint,cell_id
S01,D01,control,B1,Hepatocyte,,synthetic_00001
S01,D01,control,B1,Hepatocyte,,synthetic_00002
S01,D01,control,B1,Hepatocyte,,synthetic_00003
S01,D01,control,B1,Hepatocyte,,synthetic_00004
S01,D01,control,B1,Hepatocyte,,synthetic_00005
S01,D01,control,B1,Hepatocyte,,synthetic_00006
S01,D01,control,B1,Hepatocyte,,synthetic_00007
S01,D01,control,B1,Hepatocyte,,synthetic_00008
S01,D01,control,B1,Hepatocyte,,synthetic_00009
S01,D01,control,B1,Hepatocyte,,synthetic_00010
S01,D01,control,B1,Hepatocyte,,synthetic_00011
S01,D01,control,B1,Hepatocyte,,synthetic_00012
S01,D01,control,B1,Hepatocyte,,synthetic_00013
S01,D01,control,B1,Hepatocyte,,synthetic_00014
S01,D01,control,B1,Hepatocyte,,synthetic_00015
S01,D01,control,B1,Hepatocyte,,synthetic_00016
S01,D01,control,B1,Hepatocyte,,synthetic_00017
S01,D01,control,B1,Hepatocyte,,synthetic_00018
S01,D01,control,B1,Hepatocyte,,synthetic_00019
S01,D01,control,B1,Hepatocyte,,synthetic_00020
S01,D01,control,B1,Hepatocyte,,synthetic_00021
S01,D01,control,B1,Hepatocyte,,synthetic_00022
S01,D01,control,B1,Hepatocyte,,synthetic_00023
S01,D01,control,B1,Hepatocyte,,synthetic_00024
S01,D01,control,B1,Hepatocyte,,synthetic_00025
S01,D01,control,B1,Hepatocyte,,synthetic_00026
S01,D01,control,B1,Hepatocyte,,synthetic_00027
S01,D01,control,B1,Hepatocyte,,synthetic_00028
S01,D01,control,B1,Hepatocyte,,synthetic_00029
S01,D01,control,B1,Hepatocyte,,synthetic_00030
S01,D01,control,B1,Hepatocyte,,synthetic_00031
S01,D01,control,B1,Hepatocyte,,synthetic_00032
S01,D01,control,B1,Hepatocyte,,synthetic_00033
S01,D01,control,B1,Hepatocyte,,synthetic_00034
S01,D01,control,B1,Hepatocyte,,synthetic_00035
S01,D01,control,B1,Hepatocyte,,synthetic_00036
S01,D01,control,B1,Hepatocyte,,synthetic_00037
S01,D01,control,B1,Hepatocyte,,synthetic_00038
S01,D01,control,B1,Hepatocyte,,synthetic_00039
S01,D01,control,B1,Hepatocyte,,synthetic_00040
S01,D01,control,B1,Hepatocyte,,synthetic_00041
S01,D01,control,B1,Hepatocyte,,synthetic_00042
S01,D01,control,B1,Hepatocyte,,synthetic_00043
S01,D01,control,B1,Hepatocyte,,synthetic_00044
S01,D01,control,B1,Hepatocyte,,synthetic_00045
S01,D01,control,B1,Hepatocyte,,synthetic_00046
S01,D01,control,B1,Hepatocyte,,synthetic_00047
S01,D01,control,B1,Hepatocyte,,synthetic_00048
S01,D01,control,B1,Hepatocyte,,synthetic_00049
S01,D01,control,B1,Hepatocyte,,synthetic_00050
S01,D01,control,B1,Hepatocyte,,synthetic_00051
S01,D01,control,B1,Hepatocyte,,synthetic_00052
S01,D01,control,B1,Hepatocyte,,synthetic_00053
S01,D01,control,B1,Hepatocyte,,synthetic_00054
S01,D01,control,B1,Hepatocyte,,synthetic_00055
S01,D01,control,B1,Hepatocyte,,synthetic_00056
S01,D01,control,B1,Hepatocyte,,synthetic_00057
S01,D01,control,B1,Hepatocyte,,synthetic_00058
S01,D01,control,B1,Hepatocyte,,synthetic_00059
S01,D01,control,B1,Hepatocyte,,synthetic_00060
S01,D01,control,B1,Hepatocyte,,synthetic_00061
S01,D01,control,B1,Hepatocyte,,synthetic_00062
S01,D01,control,B1,Hepatocyte,,synthetic_00063
S01,D01,control,B1,Hepatocyte,,synthetic_00064
S01,D01,control,B1,Hepatocyte,,synthetic_00065
S01,D01,control,B1,Hepatocyte,,synthetic_00066
S01,D01,control,B1,Hepatocyte,,synthetic_00067
S01,D01,control,B1,Hepatocyte,,synthetic_00068
S01,D01,control,B1,Hepatocyte,,synthetic_00069
S01,D01,control,B1,Hepatocyte,,synthetic_00070
S01,D01,control,B1,Hepatocyte,,synthetic_00071
S01,D01,control,B1,Hepatocyte,,synthetic_00072
S01,D01,control,B1,Hepatocyte,,synthetic_00073
S01,D01,control,B1,Hepatocyte,,synthetic_00074
S01,D01,control,B1,Hepatocyte,,synthetic_00075
S01,D01,control,B1,Hepatocyte,,synthetic_00076
S01,D01,control,B1,Hepatocyte,,synthetic_00077
S01,D01,control,B1,Hepatocyte,,synthetic_00078
S01,D01,control,B1,Hepatocyte,,synthetic_00079
S01,D01,control,B1,Hepatocyte,,synthetic_00080
S01,D01,control,B1,Hepatocyte,,synthetic_00081
S01,D01,control,B1,Hepatocyte,,synthetic_00082
S01,D01,control,B1,Hepatocyte,,synthetic_00083
S01,D01,control,B1,Hepatocyte,,synthetic_00084
S01,D01,control,B1,Hepatocyte,,synthetic_00085
S01,D01,control,B1,Hepatocyte,,synthetic_00086
S01,D01,control,B1,Hepatocyte,,synthetic_00087
S01,D01,control,B1,Hepatocyte,,synthetic_00088
S01,D01,control,B1,Hepatocyte,,synthetic_00089
S01,D01,control,B1,Hepatocyte,,synthetic_00090
S01,D01,control,B1,Hepatocyte,,synthetic_00091
